0,mag,lat,lon,rad,ago
2020-12-21 06:42:57.726,4.9,-17.765,-172.7771,10.0,35
2020-12-21 08:57:38.114,4.5,-56.0532,-27.6058,103.12,35
2020-12-21 10:49:22.510,4.5,-22.4835,-176.1784,136.61,35
2020-12-21 13:32:44.836,4.9,-24.3228,-179.4952,454.73,35
2020-12-21 14:49:14.196,4.7,-3.3274,140.0563,73.98,35
2020-12-21 15:33:55.652,4.8,-6.4543,130.4931,85.21,35
2020-12-21 19:30:23.386,4.5,-3.6308,-77.7417,47.11,35
2020-12-21 20:08:55.651,5.8,-16.3814,-177.4723,10.0,35
2020-12-21 21:14:47.611,4.9,14.7716,121.6318,37.94,35
2020-12-21 21:18:01.790,4.7,-33.2643,77.9678,10.0,35
2020-12-21 23:07:56.035,5.0,-29.4585,-177.1363,21.48,35
2020-12-22 00:48:45.403,4.5,-55.8365,-27.7439,114.81,36
2020-12-22 04:01:33.840,4.9,36.1322,69.3533,26.1,36
2020-12-22 04:19:58.532,4.9,5.2168,125.2675,53.32,36
2020-12-22 04:47:39.685,5.4,-58.8197,149.1819,10.0,36
2020-12-22 05:25:20.900,4.9,78.5863,-3.2013,10.0,36
2020-12-22 08:03:01.614,4.5,-18.8584,169.3929,240.25,36
2020-12-22 13:46:20.052,4.5,-3.7437,-77.7462,50.83,36
2020-12-22 16:37:53.748,5.0,10.0821,126.0988,54.97,36
2020-12-22 17:00:31.352,4.5,-4.5288,101.0519,10.0,36
2020-12-22 20:04:07.714,4.8,37.2332,141.283,29.1,36
2020-12-22 21:24:35.267,4.9,29.399,128.8659,9.29,36
2020-12-22 23:27:23.419,4.5,36.9548,14.4067,23.02,36
2020-12-22 23:50:50.574,4.7,17.0737,147.8038,10.0,37
2020-12-23 01:45:01.658,4.6,34.0018,139.7457,118.11,37
2020-12-23 03:45:07.768,5.7,8.362,-103.2274,10.0,37
2020-12-23 03:51:21.101,5.7,8.317,-103.152,10.0,37
2020-12-23 03:53:28.549,4.8,8.2599,-103.0377,10.0,37
