DATE,DEXUSUK
1980-01-01,
1980-01-02,2.2427
1980-01-03,2.24
1980-01-04,2.237
1980-01-07,2.2615
1980-01-08,2.262
1980-01-09,2.266
1980-01-10,2.258
1980-01-11,2.257
1980-01-14,2.2755
1980-01-15,2.2765
1980-01-16,2.271
1980-01-17,2.277
1980-01-18,2.2855
1980-01-21,2.2835
1980-01-22,2.275
1980-01-23,2.2775
1980-01-24,2.2778
1980-01-25,2.261
1980-01-28,2.2475
1980-01-29,2.2495
1980-01-30,2.262
1980-01-31,2.2667
1980-02-01,2.274
1980-02-04,2.2865
1980-02-05,2.2905
1980-02-06,2.312
1980-02-07,2.3015
1980-02-08,2.298
1980-02-11,2.3047
1980-02-12,
1980-02-13,2.308
1980-02-14,2.3131
1980-02-15,2.295
1980-02-18,
1980-02-19,2.272
1980-02-20,2.2794
1980-02-21,2.2865
1980-02-22,2.2745
1980-02-25,2.276
1980-02-26,2.2767
1980-02-27,2.287
1980-02-28,2.2848
1980-02-29,2.273
1980-03-03,2.242
1980-03-04,2.235
1980-03-05,2.24
1980-03-06,2.2335
1980-03-07,2.227
1980-03-10,2.2168
1980-03-11,2.2265
1980-03-12,2.2335
1980-03-13,2.223
1980-03-14,2.213
1980-03-17,2.1875
1980-03-18,2.186
1980-03-19,2.1905
1980-03-20,2.194
1980-03-21,2.1835
1980-03-24,2.186
1980-03-25,2.1885
1980-03-26,2.1855
1980-03-27,2.174
1980-03-28,2.169
1980-03-31,2.16
1980-04-01,2.1515
1980-04-02,2.154
1980-04-03,2.139
1980-04-04,2.135
1980-04-07,2.14
1980-04-08,2.179
1980-04-09,2.186
1980-04-10,2.1915
1980-04-11,2.195
1980-04-14,2.2035
1980-04-15,2.1875
1980-04-16,2.217
1980-04-17,2.215
1980-04-18,2.2185
1980-04-21,2.242
1980-04-22,2.2345
1980-04-23,2.269
1980-04-24,2.2635
1980-04-25,2.2735
1980-04-28,2.283
1980-04-29,2.2695
1980-04-30,2.2585
1980-05-01,2.259
1980-05-02,2.2555
1980-05-05,2.278
1980-05-06,2.2795
1980-05-07,2.2815
1980-05-08,2.285
1980-05-09,2.267
1980-05-12,2.281
1980-05-13,2.279
1980-05-14,2.2975
1980-05-15,2.3005
1980-05-16,2.284
1980-05-19,2.2835
1980-05-20,2.291
1980-05-21,2.3305
1980-05-22,2.3285
1980-05-23,2.344
1980-05-26,
1980-05-27,2.37
1980-05-28,2.359
1980-05-29,2.346
1980-05-30,2.3425
1980-06-02,2.3365
1980-06-03,2.303
1980-06-04,2.3215
1980-06-05,2.3305
1980-06-06,2.3318
1980-06-09,2.3505
1980-06-10,2.3327
1980-06-11,2.3348
1980-06-12,2.3385
1980-06-13,2.3425
1980-06-16,2.3405
1980-06-17,2.3306
1980-06-18,2.3323
1980-06-19,2.3355
1980-06-20,2.335
1980-06-23,2.341
1980-06-24,2.3357
1980-06-25,2.336
1980-06-26,2.3435
1980-06-27,2.347
1980-06-30,2.3555
1980-07-01,2.3615
1980-07-02,2.358
1980-07-03,2.3483
1980-07-04,
1980-07-07,2.3825
1980-07-08,2.373
1980-07-09,2.3735
1980-07-10,2.3755
1980-07-11,2.3777
1980-07-14,2.3755
1980-07-15,2.3715
1980-07-16,2.3715
1980-07-17,2.38
1980-07-18,2.3742
1980-07-21,2.3795
1980-07-22,2.388
1980-07-23,2.3845
1980-07-24,2.3965
1980-07-25,2.3905
1980-07-28,2.3862
1980-07-29,2.371
1980-07-30,2.348
1980-07-31,2.3425
1980-08-01,2.333
1980-08-04,2.3425
1980-08-05,2.3555
1980-08-06,2.374
1980-08-07,2.3698
1980-08-08,2.372
1980-08-11,2.3718
1980-08-12,2.373
1980-08-13,2.3755
1980-08-14,2.3755
1980-08-15,2.3795
1980-08-18,2.369
1980-08-19,2.36
1980-08-20,2.3685
1980-08-21,2.369
1980-08-22,2.3655
1980-08-25,2.3685
1980-08-26,2.3795
1980-08-27,2.3905
1980-08-28,2.389
1980-08-29,2.396
1980-09-01,
1980-09-02,2.418
1980-09-03,2.4155
1980-09-04,2.418
1980-09-05,2.413
1980-09-08,2.4175
1980-09-09,2.4005
1980-09-10,2.402
1980-09-11,2.4115
1980-09-12,2.4135
1980-09-15,2.396
1980-09-16,2.3865
1980-09-17,2.3923
1980-09-18,2.384
1980-09-19,2.3855
1980-09-22,2.403
1980-09-23,2.402
1980-09-24,2.399
1980-09-25,2.3992
1980-09-26,2.3915
1980-09-29,2.3905
1980-09-30,2.387
1980-10-01,2.391
1980-10-02,2.386
1980-10-03,2.3883
1980-10-06,2.3978
1980-10-07,2.3925
1980-10-08,2.393
1980-10-09,2.3972
1980-10-10,2.4028
1980-10-13,
1980-10-14,2.4078
1980-10-15,2.407
1980-10-16,2.4165
1980-10-17,2.413
1980-10-20,2.4295
1980-10-21,2.435
1980-10-22,2.4345
1980-10-23,2.442
1980-10-24,2.44
1980-10-27,2.438
1980-10-28,2.4345
1980-10-29,2.441
1980-10-30,2.438
1980-10-31,2.4365
1980-11-03,2.443
1980-11-04,
1980-11-05,2.446
1980-11-06,2.438
1980-11-07,2.418
1980-11-10,2.3965
1980-11-11,
1980-11-12,2.413
1980-11-13,2.4175
1980-11-14,2.403
1980-11-17,2.394
1980-11-18,2.39
1980-11-19,2.376
1980-11-20,2.385
1980-11-21,2.3585
1980-11-24,2.339
1980-11-25,2.355
1980-11-26,2.3695
1980-11-27,
1980-11-28,2.3575
1980-12-01,2.3485
1980-12-02,2.3415
1980-12-03,2.346
1980-12-04,2.3442
1980-12-05,2.339
1980-12-08,2.3435
1980-12-09,2.3355
1980-12-10,2.34
1980-12-11,2.3145
1980-12-12,2.3235
1980-12-15,2.3275
1980-12-16,2.309
1980-12-17,2.33
1980-12-18,2.324
1980-12-19,2.341
1980-12-22,2.351
1980-12-23,2.368
1980-12-24,2.36
1980-12-25,
1980-12-26,2.379
1980-12-29,2.366
1980-12-30,2.39
1980-12-31,2.389
1981-01-01,
1981-01-02,2.382
1981-01-05,2.4155
1981-01-06,2.4225
1981-01-07,2.4115
1981-01-08,2.4035
1981-01-09,2.395
1981-01-12,2.397
1981-01-13,2.388
1981-01-14,2.4025
1981-01-15,2.4005
1981-01-16,2.3935
1981-01-19,2.405
1981-01-20,2.4185
1981-01-21,2.427
1981-01-22,2.403
1981-01-23,2.407
1981-01-26,2.416
1981-01-27,2.402
1981-01-28,2.4083
1981-01-29,2.3968
1981-01-30,2.3655
