year,near,far
1950,15,10
1951,25,24
1952,39,26
1953,9,13
1954,21,12
1955,48,39
1956,5,10
1957,18,22
1958,30,41
1959,14,15
1960,15,15
1961,23,24
1962,45,33
1963,20,18
1964,27,18
1965,19,17
1966,55,64
1967,48,57
1968,34,35
1969,30,22
1970,34,32
1971,41,44
1972,17,15
1973,41,31
1974,22,8
1975,10,14
1976,34,35
1977,16,14
1978,22,27
1979,17,22
1980,21,26
1981,13,10
1982,8,13
1983,14,17
1984,40,41
1985,25,27
1986,29,31
1987,31,42
1988,19,11
1989,31,27
1990,27,19
1991,10,12
1992,27,31
1993,40,27
1994,36,28
1995,30,25
1996,76,69
1997,32,36
1998,44,30
1999,54,69
2000,25,20
2001,15,17
2002,49,52
2003,20,15
2004,39,33
2005,54,53
2006,45,38
2007,57,51
2008,34,44
2009,59,37
2010,19,27
