Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time
34.29,2016-01-15 00:00:00,call,AAPL160115C00034290,94.17,94.1,94.95,0.0,0.00%,6,403,57.23%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
34.29,2016-01-15 00:00:00,put,AAPL160115P00034290,0.06,0.01,0.07,0.0,0.00%,164,8271,52.73%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
35.71,2016-01-15 00:00:00,call,AAPL160115C00035710,97.1,92.75,93.55,0.0,0.00%,4,95,58.69%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
35.71,2016-01-15 00:00:00,put,AAPL160115P00035710,0.06,0.0,0.08,0.0,0.00%,10,7796,51.17%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
37.14,2016-01-15 00:00:00,call,AAPL160115C00037140,72.55,91.3,92.05,0.0,0.00%,40,0,53.91%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
37.14,2016-01-15 00:00:00,put,AAPL160115P00037140,0.08,0.0,0.09,0.0,0.00%,1573,6110,50.39%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
38.57,2016-01-15 00:00:00,call,AAPL160115C00038570,58.35,89.8,90.65,0.0,0.00%,2,0,50.59%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
38.57,2016-01-15 00:00:00,put,AAPL160115P00038570,0.1,0.01,0.09,0.0,0.00%,795,3653,52.93%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
40.0,2016-01-15 00:00:00,call,AAPL160115C00040000,88.95,88.4,89.25,0.0,0.00%,7,59,51.56%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
40.0,2016-01-15 00:00:00,put,AAPL160115P00040000,0.08,0.08,0.1,0.0,0.00%,5,5004,51.37%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
41.43,2016-01-15 00:00:00,call,AAPL160115C00041430,78.71,86.95,87.75,0.0,0.00%,2180,0,62.79%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
41.43,2016-01-15 00:00:00,put,AAPL160115P00041430,0.14,0.03,0.11,0.0,0.00%,1637,5621,51.17%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
42.86,2016-01-15 00:00:00,call,AAPL160115C00042860,89.0,85.55,86.35,0.0,0.00%,3,1224,61.72%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
42.86,2016-01-15 00:00:00,put,AAPL160115P00042860,0.09,0.05,0.12,0.01,+12.50%,30,17265,50.29%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
44.29,2016-01-15 00:00:00,call,AAPL160115C00044290,88.0,84.15,84.95,0.0,0.00%,8,113,60.62%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
44.29,2016-01-15 00:00:00,put,AAPL160115P00044290,0.14,0.04,0.14,0.0,0.00%,146,6168,49.90%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
45.71,2015-04-17 00:00:00,call,AAPL150417C00045710,64.63,82.8,83.2,0.0,0.00%,1,0,125.39%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
45.71,2015-04-17 00:00:00,put,AAPL150417P00045710,0.02,0.0,0.02,0.01,+100.00%,1,569,92.19%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
45.71,2016-01-15 00:00:00,call,AAPL160115C00045710,86.0,82.7,83.6,0.0,0.00%,1,157,60.33%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
45.71,2016-01-15 00:00:00,put,AAPL160115P00045710,0.13,0.05,0.16,0.0,0.00%,20,6831,49.37%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
46.43,2015-04-17 00:00:00,call,AAPL150417C00046430,62.42,82.05,82.5,0.0,0.00%,10,0,125.39%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
46.43,2015-04-17 00:00:00,put,AAPL150417P00046430,0.02,0.0,0.02,0.0,0.00%,5,21,90.63%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
47.14,2015-04-17 00:00:00,put,AAPL150417P00047140,0.11,0.0,0.02,0.0,0.00%,117,117,89.06%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
47.14,2016-01-15 00:00:00,call,AAPL160115C00047140,81.0,81.3,82.15,0.0,0.00%,50,503,58.30%,AAPL,False,AAPL,128.79,2015-02-25 16:00:00
