DATE,GDPC1,GDPPOT,PCEPI,FEDFUNDS
1970-01-01,4707.1,4692.0,21.885,8.98
1970-02-01,,,21.973,8.98
1970-03-01,,,22.027,7.76
1970-04-01,4715.4,4733.0,22.139,8.1
1970-05-01,,,22.209,7.94
1970-06-01,,,22.267,7.6
1970-07-01,4757.2,4772.0,22.348,7.21
1970-08-01,,,22.407,6.61
1970-09-01,,,22.508,6.29
1970-10-01,4708.3,4811.0,22.619,6.2
1970-11-01,,,22.708,5.6
1970-12-01,,,22.809,4.9
1971-01-01,4834.3,4850.0,22.857,4.14
1971-02-01,,,22.924,3.72
1971-03-01,,,23.001,3.71
1971-04-01,4861.9,4888.0,23.09,4.15
1971-05-01,,,23.187,4.63
1971-06-01,,,23.289,4.91
1971-07-01,4900.0,4925.0,23.36,5.31
1971-08-01,,,23.428,5.56
1971-09-01,,,23.463,5.55
1971-10-01,4914.3,4963.0,23.499,5.2
1971-11-01,,,23.548,4.91
1971-12-01,,,23.641,4.14
1972-01-01,5002.4,5002.0,23.738,3.5
1972-02-01,,,23.832,3.29
1972-03-01,,,23.866,3.83
1972-04-01,5118.3,5041.0,23.903,4.17
1972-05-01,,,23.955,4.27
1972-06-01,,,23.992,4.46
1972-07-01,5165.4,5081.0,24.078,4.55
1972-08-01,,,24.148,4.8
1972-09-01,,,24.256,4.87
1972-10-01,5251.2,5122.0,24.283,5.04
1972-11-01,,,24.356,5.06
1972-12-01,,,24.434,5.33
1973-01-01,5380.5,5165.0,24.508,5.94
1973-02-01,,,24.637,6.58
1973-03-01,,,24.812,7.09
1973-04-01,5441.5,5209.0,24.997,7.12
1973-05-01,,,25.12,7.84
1973-06-01,,,25.263,8.49
1973-07-01,5411.9,5255.0,25.355,10.4
1973-08-01,,,25.647,10.5
1973-09-01,,,25.75,10.78
1973-10-01,5462.4,5302.0,25.895,10.01
1973-11-01,,,26.107,10.03
1973-12-01,,,26.322,9.95
1974-01-01,5417.0,5351.0,26.574,9.65
1974-02-01,,,26.883,8.97
1974-03-01,,,27.195,9.35
1974-04-01,5431.3,5400.0,27.387,10.51
1974-05-01,,,27.657,11.31
1974-06-01,,,27.891,11.93
1974-07-01,5378.7,5451.0,28.098,12.92
1974-08-01,,,28.391,12.01
1974-09-01,,,28.687,11.34
1974-10-01,5357.2,5501.0,28.893,10.06
1974-11-01,,,29.11,9.45
1974-12-01,,,29.341,8.53
1975-01-01,5292.4,5551.0,29.523,7.13
1975-02-01,,,29.684,6.24
1975-03-01,,,29.786,5.54
1975-04-01,5333.2,5599.0,29.887,5.49
1975-05-01,,,30.007,5.22
1975-06-01,,,30.195,5.55
1975-07-01,5421.4,5647.0,30.454,6.1
1975-08-01,,,30.586,6.14
1975-09-01,,,30.737,6.24
1975-10-01,5494.4,5694.0,30.916,5.82
1975-11-01,,,31.114,5.22
1975-12-01,,,31.286,5.2
1976-01-01,5618.5,5740.0,31.406,4.87
1976-02-01,,,31.447,4.77
1976-03-01,,,31.494,4.84
1976-04-01,5661.0,5786.0,31.565,4.82
1976-05-01,,,31.716,5.29
1976-06-01,,,31.853,5.48
1976-07-01,5689.8,5832.0,32.014,5.31
1976-08-01,,,32.19,5.29
1976-09-01,,,32.371,5.25
1976-10-01,5732.5,5880.0,32.541,5.02
1976-11-01,,,32.688,4.95
1976-12-01,,,32.87,4.65
1977-01-01,5799.2,5929.0,33.058,4.61
1977-02-01,,,33.316,4.68
1977-03-01,,,33.482,4.69
1977-04-01,5913.0,5979.0,33.678,4.73
1977-05-01,,,33.849,5.35
1977-06-01,,,34.038,5.39
1977-07-01,6017.6,6031.0,34.216,5.42
1977-08-01,,,34.376,5.9
1977-09-01,,,34.507,6.14
1977-10-01,6018.2,6084.0,34.668,6.47
1977-11-01,,,34.869,6.51
1977-12-01,,,35.04,6.56
1978-01-01,6039.2,6138.0,35.251,6.7
1978-02-01,,,35.417,6.78
1978-03-01,,,35.649,6.79
1978-04-01,6274.0,6196.0,35.919,6.89
1978-05-01,,,36.177,7.36
1978-06-01,,,36.413,7.6
1978-07-01,6335.3,6254.0,36.613,7.81
1978-08-01,,,36.798,8.04
1978-09-01,,,37.008,8.45
1978-10-01,6420.3,6312.0,37.302,8.96
1978-11-01,,,37.514,9.76
1978-12-01,,,37.689,10.03
1979-01-01,6433.0,6368.0,37.971,10.07
1979-02-01,,,38.173,10.06
1979-03-01,,,38.47,10.09
1979-04-01,6440.8,6422.0,38.871,10.01
1979-05-01,,,39.272,10.24
1979-06-01,,,39.595,10.29
