year mon liq
1980 01 913316171.00
1980 02 443347292.00
1980 03 803377044.00
1980 04 583409228.00
1980 05 613441478.00
1980 06 743467349.00
1980 07 853494391.00
1980 08 103526373.00
1980 09 473550301.00
1980 10 523581728.00
1980 11 403612015.00
1980 12 103644443.00
1981 01  03674226.00
1981 02  613709181.00
1981 03  593742469.00
1981 04  33781586.00
1981 05  953813088.00
1981 06  63862367.00
1981 07  803883532.00
1981 08  583915639.00
1981 09  323945664.00
1981 10  193987240.00
1981 11  654027819.00
1981 12  694058619.00
1982 01 384092181.00
1982 02 584121579.00
1982 03 34153257.00
1982 04 564193068.00
1982 05 614237174.00
1982 06 34269320.00
1982 07 64300184.00
1982 08 624330355.00
1982 09 794363364.00
1982 10 624395632.00
1982 11 134426844.00
1982 12 564461631.00
1983 01  904499477.00
1983 02  654532249.00
1983 03  864568201.00
1983 04  334600156.00
1983 05  214639447.00
1983 06  714688368.00
1983 07  124716449.00
1983 08  124752999.00
1983 09  224789529.00
1983 10  594830983.00
1983 11  64864579.00
1983 12  364907172.00
1984 01 684939348.00
1984 02 374978462.00
1984 03 45026880.00
1984 04 765046591.00
1984 05 595082672.00
1984 06 375117149.00
1984 07 705151551.00
1984 08 255191516.00
1984 09 225240627.00
1984 10 155277421.00
1984 11 925314028.00
1984 12 25349843.00
1985 01  65393692.00
1985 02  535434007.00
1985 03  825477448.00
1985 04  525519754.00
1985 05  875556419.00
1985 06  575603167.00
1985 07  795645465.00
1985 08  435690253.00
1985 09  655725350.00
1985 10  595765742.00
1985 11  455816541.00
1985 12  715867106.00
1986 01 655912331.00
1986 02 165953121.00
1986 03 685999963.00
1986 04 536046139.00
1986 05 396092705.00
1986 06 96132921.00
1986 07 616175659.00
1986 08 346215585.00
1986 09 616277388.00
1986 10 456316026.00
1986 11 626364261.00
1986 12 836411795.00
1987 01  326457272.00
1987 02  566500571.00
1987 03  346568976.00
1987 04  956630588.00
1987 05  776672997.00
1987 06  996751527.00
1987 07  646814204.00
1987 08  886880204.00
1987 09  466941535.00
1987 10  546997683.00
1987 11  667056998.00
1987 12  77078211.00
1988 01 157151310.00
1988 02 287211905.00
1988 03 787252098.00
1988 04 207295188.00
1988 05 857359468.00
1988 06 547410815.00
1988 07 627467679.00
1988 08 237529054.00
1988 09 817587071.00
1988 10 887648104.00
1988 11 77695259.00
1988 12 337747772.00
1989 01  527806698.00
1989 02  117885957.00
1989 03  247937044.00
1989 04  967982672.00
1989 05  758016936.00
1989 06  318085312.00
1989 07  538167208.00
1989 08  808244725.00
1989 09  508311291.00
1989 10  788373588.00
1989 11  558447145.00
1989 12  798528043.00
1990 01 28608326.00
1990 02 98705349.00
1990 03 208759040.00
1990 04 138868384.00
1990 05 828878045.00
1990 06 78914775.00
1990 07 598965769.00
1990 08 268990955.00
1990 09 659050251.00
1990 10 779123741.00
1990 11 119125047.00
1990 12 879168583.00
1991 01  519216220.00
1991 02  529238574.00
1991 03  389261431.00
1991 04  899296266.00
1991 05  669324282.00
1991 06  879381842.00
1991 07  299425198.00
1991 08  539462160.00
1991 09  619498308.00
1991 10  659541641.00
1991 11  969585401.00
1991 12  229603966.00
1992 01 109625061.00
1992 02 939647164.00
1992 03 779678471.00
1992 04 669703307.00
1992 05 149718858.00
1992 06 19735867.00
1992 07 359748021.00
1992 08 789761307.00
1992 09 989750539.00
1992 10 479796401.00
1992 11 589819110.00
1992 12 789848420.00
1993 01  149879329.00
1993 02  129902473.00
1993 03  599881129.00
1993 04  109961720.00
1993 05  359999627.00
1993 06  310021841.00
1993 07  7610037906.00
1993 08  4210053969.00
1993 09  6310074985.00
1993 10  5110104253.00
1993 11  7210111842.00
1993 12  7010139382.00
1994 01 2310177807.00
1994 02 1310203872.00
1994 03 3410227986.00
1994 04 1310289023.00
1994 05 6510290109.00
1994 06 7110324700.00
1994 07 7510371971.00
1994 08 1310412477.00
1994 09 6510440747.00
1994 10 3210465725.00
1994 11 3410466999.00
1994 12 4110517081.00
1995 01  2410551776.00
1995 02  2610604080.00
1995 03  7310642578.00
1995 04  9110684997.00
1995 05  6510685208.00
1995 06  1110710078.00
1995 07  8010739979.00
1995 08  8210775727.00
1995 09  4110831344.00
1995 10  6910867402.00
1995 11  6810907887.00
1995 12  5810940525.00
1996 01 2610963694.00
1996 02 510979967.00
1996 03 7511017014.00
1996 04 8811055664.00
1996 05 2111094992.00
1996 06 5211153202.00
1996 07 6411170146.00
1996 08 6611180293.00
1996 09 5011221675.00
1996 10 6611255500.00
1996 11 2211289490.00
1996 12 1111317398.00
1997 01  6611355610.00
1997 02  2911385511.00
1997 03  6311423686.00
1997 04  6911506966.00
1997 05  4211503865.00
1997 06  4811517607.00
1997 07  2411530750.00
1997 08  611560816.00
1997 09  7911587441.00
1997 10  5411621125.00
1997 11  6911656812.00
1997 12  1911692972.00 
1998 01 311724711.00
1998 02 311756815.00
1998 03 8511774261.00
1998 04 2611787547.00
1998 05 6411829783.00
1998 06 7811871447.00
1998 07 8511911355.00
1998 08 7011949679.00
1998 09 3811969785.00
1998 10 8511980631.00
1998 11 712022480.43
1998 12 2212056866.65
1999 01  2412090886.61
1999 02  5512143863.46
1999 03  1412214480.25
