Year							      1999		2000	     2001	   2002			2003		2004	    2005	     2006		 2007           2008          2009           2010                  2011          2012         2013               2014              2015         2016            2017                                  
"CURRENT_ACCOUNT"                                             -925              -9920        3760          -626             -7554            -14198     -20980          -31168             -36949        -39425       -11358        -44616              -74402       -47963       -63642            -43644           -32109     -33137         -47389        
Exports                                                     29135            30923        34810         40705           52472            68833      78509           93778              115379        140906       109732        120992              142392       161948       161789            168926           151970     150161         166161        
Imports                                                     38802            52882        38092         47109           65883            91271      111445          134672             162210        193823       134494        177317              231552       227315       241706            232519           200098     191053         225117        
"Balance_on_Goods"                                            -9667            -21959       -3282         -6404           -13411           -22438     -32936          -40894             -46831        -52917       -24762        -56325              -89160       -65367       -79917            -63593           -48128    -40892          -58956        
"Services_Credit"                                            16266            19365        15122         14045           17969            23066      27814           26030              29907         36937        35626         36192               40851        43225        47673             51746            46632     37391           43672         
"Services_Debit"                                             8868             8088         6067          6146            7575             10334      11942           12133              15818         18029        16898         19443               20563        20684        24055             25071            22404     22128           23723         
"Balance_on_Goods_and_Services"                               -2269            -10682       5773          1495            -3017            -9706      -17064          -26997             -32742        -34009       -6034         -39576              -68872       -42826       -56299            -36918           -23900    -25629          -39007        
"Primary_Income_Credit"                                      2350             2836         2753          2486            2246             2651       4125            5105               7271          7670         5833          5197                4625         5762         5289              4874             4471      5311            4937          
"Primary_Income_Debit"                                       5887             6838         7753          7040            7803             8260       9495            11090              13549         15272        13490         11712               11874        12350        13909             13113            14122     14492           16025         
"Balance_on_Goods__Services_and_Primary_Income"               -5806            -14684       773            -3059           -8574            -15315     -22434          -32982             -39020        -41611       -13691        -46091              -76121       -49414       -64919            -45157           -33551    -34810          -50095        
"Secondary_Income"                                            4881             4764         2987          2433            1020             1117       1454            1814               2071          2186         2333          1475                1719         1451         1277              1513             1442      1673            2706          
"CAPITAL_ACCOUNT"                                             0                 0             0              0                0                 0           0                0                   -8             -61           -43            -51                    -25         -58           -96                  -70             -21        23               16     
"FINANCIAL_ACCOUNT"                                           -4829            -9584        14557         -1172           -7162            -17702     -42685          -42689             -49287        -34761       -9879         -60099              -67146       -72666       -73460            -42127           -10543     -22958         -38226        
"Direct_Investment_Net_acquisition_of_financial_assets"      645               870           497            143              480               780         1064            924                 2106          2549         1553          1482                2370         4106         3636              7050             5096      3147            2700          
"Direct_Investment_Net__incurrence_of_liabilities"            783               982           3352          1082            1702             2785       10031           20185              22047         19851        8585          9099                16182        13744        13563             13119            18002     13343           10904         
"Portfolio_Investment_Net_acquisition_of_financial_assets"   713               560           752            2054            1353             1363       1213            3987               1947          1244         2711          3534                -2688        -2657        -2601             746               6129      1511            -394           
"Portfolio_Invesment_Net_incurrence_of_liabilities"          4188             1615         -3727         1503            3851             9411       14670           11402              2780          -3770        2938          19617               19516        38372        21419             20916            -9558     7811            24059         
"Equity_Securities"                                           428               489           -79            -16              905               1427       5669            1939               5138          716           2827          3468                -985          6276         842                 2559            -2395     823              3192          
"Debt_Securities"                                             3760             1126         -3648         1519            2946             7984       9001            9463               -2358         -4486        111            16149               20501        32096        20577             18357            -7163     6988            20867         
"Other_Investment_Net_acquisition_of_financial_assets"       2350             1972         637            819              1019             7008       573              13479              4969          12056        -10963        -7020               -11197       560           -2318             1684             14992     6144            8083          
"Central_Bank"                                                98                -1            39             30               28                24          16               0                   -2             -2            -2             -4                   -2            -2            -1                 0                 0          0                0      
"General_Government"                                          46                33            36             42               33                25          20               42                  116            32            31             39                   292           366           757                213               -238       -236             -326           
"Banks"                                                       1839             1574         -233           -643             -348              5324       149              11018              3389          10253        -6393         -13179              339           -2039        269                1055             15184     7646            6663          
"Other_Sectors"                                               367               366           795            1390            1306             1635       388              2419               1466          1773         -4599         6124                -11826       2235         -3343             416               46         -1266           1746          
"Other_Investment_Net_incurrence_of_liabilities"             3566             10389        -12296        1603            4461             14657      20834           29492              33482         34529        -8343         29379               19933        22559        37195             17572            28316     12606           13652         
"Central_Bank"                                                -231              619           735            1336            497               -209        -787             -986                -1096         -1371        -381           -38                  -1409        -1779        -1457             -1905            -674       -413             -218           
"General_Government_2"                                          -1932            117           -1977         -669             -2194            -1163      -2165           -712                82             1742         3099          3657                2073         -89           -22                -886              -1189     -925             -1371         
"Banks_2"                                                       2655             3736         -9644         -2016           2846             6564       10524           11704              3736          9457         514            27240               10118        16682        32842             14804            18907     876               4031         
"Other_Sectors"                                               3074             5917         -1410         2952            3312             9465       13262           19486              30760         24701        -11575        -1480               9151         7745         5832              5559             11272     13068           11210         
"Current_Capital_and_Financial_Accounts"                     3904             -336          -10797        546              -392              3504       21705           11521              12330         -4725        -1522         15432               -7281        24645        9722              -1587            -21587    -10156          -9147         
"NET_ERRORS_AND_OMISSIONS"                                   1302             -2661        -2127         -758             4489             838         1495            -896                -315           1966         2314          -464                 8295         -1824        1041              1119             9756      10969           940            
"GENERAL_BALANCE"                                             -5206            2997         12924         212              -4097            -4342      -23200          -10625             -12015        2759         -792           -14968              -1014        -22821       -10763            468               11831     -813             8207          
"RESERVE_ASSETS"                                              5206             -2997        -12924        -212             4097             4342       23200           10625              12015         -2759        792            14968               1014         22821        10763             -468              -11831     813             -8207         
"Official_Reserves"                                           5726             354           -2694         6153            4047             824         17847           6114               8032          -1058        112            12809               -1813        20814        9911              -468              -11831     813             -8207         
"Credit_and_loans_with_the_IMF"                               -520              -3351        -10230        -6365           50                3518       5353            4511               3983          -1701        680            2159                2827         2007         852                0                  0           0              0      
"Exceptional_Financing"                                       0                 0               0              0              0                 0           0                0                   0                0           0              0                    0             0              0                 0                  0           0              0           
