# uretim, milyon varil
year uretim
1950 10.42
1951 11.73
1952 12.34
1953 13.15
1954 13.74
1955 15.41
1956 16.78
1957 17.64
1958 18.10
1959 19.54
1960 21.03
1961 22.43
1962 24.33
1963 26.13
1964 28.25
1965 31.80
1966 34.57
1967 37.12
1968 40.44
1969 43.63
1970 48.06
1971 51.20
1972 54.00
1973 58.90
1974 59.00
1975 56.49
1976 60.89
1977 63.29
1978 63.98
1979 66.57
1980 63.86
1981 60.55
1982 58.13
1983 58.01
1984 59.71
1985 59.12
1986 61.91
1987 62.28
1988 64.62
1989 65.92
1990 66.78
1991 66.85
1992 67.35
1993 67.55
1994 68.94
1995 70.42
1996 72.31
1997 74.60
1998 75.71
1999 74.31
2000 76.92
2001 77.11
2002 76.79
2003 79.54
2004 82.90
2005 84.15
2006 84.80
2007 84.62
2008 85.71
2009 84.94
2010 87.52
2011 87.83
2012 89.70
2013 90.05
2014 93.61
2015 95.76
